이엠텍 지포스 RTX 2060 STORM X Dual OC D6 6GB,이엠텍,RTX2060,12,1365,1830,1920,3.0x16,6,14000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 190W / 정격파워 500W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 235mm / 백플레이트 / LED 라이트 / 2019년 2월 제품 구성 변경 (백플레이트 추가),441900
ZOTAC GAMING AMP 지포스 RTX 2060 D6 6GB 백플레이트,ZOTAC,RTX2060,12,NA,1800,1920,3.0x16,6,14000,6,192,HDMI / DP / 최대 모니터 4개 / 최대 170W / 정격파워 500W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 214mm / 백플레이트 / LED 라이트,416900
이엠텍 지포스 RTX 2070 STORM X Dual D6 8GB,이엠텍,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 235mm / 백플레이트 / LED 라이트 / 2019년 2월 제품 구성 변경 (백플레이트 추가),597100
MSI 지포스 RTX 2070 게이밍 Z D6 8GB 트윈프로져7,MSI,RTX2070,12,1410,1830,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225 / 정격파워 550W / 전원부: 8페이즈 / 2개 팬 / 295mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,711700
MSI 지포스 GTX 1660 Ti 게이밍 X D6 6GB 트윈프로져7,MSI,GTX1660Ti,12,NA,1875,1536,3.0x16,6,12000,6,192,HDMI / DP / 최대 모니터 4개 / 최대 130W / 정격파워 450W 이상 / 2개 팬 / 247mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,376600
ZOTAC GAMING 지포스 GTX 1660 Ti D6 6GB TWIN,ZOTAC,GTX1660Ti,12,NA,1770,1536,3.0x16,6,12000,6,192,HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 450W / 2개 팬 / 179mm,333600
이엠텍 HV 지포스 RTX 2080 BLACK MONSTER OC D6 8GB,이엠텍,RTX2080,12,1515,1815,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W 이상 / 전원부: 12페이즈 / 3개 팬 / 292mm / 백플레이트 / LED 라이트,962800
이엠텍 지포스 GTX 1660 Ti STORM X Dual OC D6 6GB,이엠텍,GTX1660Ti,12,1500,1860,1536,3.0x16,6,12000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 450W / 전원부: 4+2페이즈 / 2개 팬 / 235mm / 백플레이트 / LED 라이트,357100
MSI 지포스 GTX 1660 벤투스 S OC D5 6GB,MSI,GTX1660,12,1830,NA,1408,3.0x16,5,8000,6,192,HDMI / DP / 최대 모니터 4개 / 최대 130W / 정격파워 450W / 2개 팬 / 204mm / 백플레이트,265500
갤럭시 GALAX 지포스 GTX 1660 Ti BLACK D D6 6GB,갤럭시,GTX1660Ti,12,1500,1785,1536,3.0x16,6,12000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 450W / 2개 팬 / 214mm / 백플레이트 / 2019년 3월 26일 제품 구성 변경 (백플레이트 추가),329700
갤럭시 GALAX 지포스 RTX 2060 WHITE D EX D6 6GB,갤럭시,RTX2060,12,1365,1710,1920,3.0x16,6,14000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 160W / 정격파워 500W 이상 / 전원부: 6페이즈 / 2개 팬 / 233mm / 백플레이트 / LED 라이트,420600
이엠텍 지포스 RTX 2080 Ti BLACK EDITION OC D6 11GB,이엠텍,RTX2080Ti,12,1350,1650,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 300W / 정격파워 700W / 전원부: 13+3페이즈 / 3개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,1518800
갤럭시 GALAX 지포스 RTX 2060 BLACK D D6 6GB,갤럭시,RTX2060,12,1365,1695,1920,3.0x16,6,14000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 160W / 정격파워 500W 이상 / 전원부: 6페이즈 / 2개 팬 / 214mm / 백플레이트 / 2019년 2월 27일 제품 구성 변경 (백플레이트 추가),408700
이엠텍 XENON 지포스 RTX 2070 TURBO JET OC D6 8GB,이엠텍,RTX2070,12,1410,1725,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 3개 / 최대 220W / 정격파워 550W 이상 / 전원부: 8+2페이즈 / 2개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,705220
MSI 지포스 RTX 2060 게이밍 Z D6 6GB 트윈프로져7,MSI,RTX2060,12,NA,1830,1920,3.0x16,6,14000,6,192,HDMI / DP / 최대 모니터 4개 / 최대 190W / 정격파워 500W 이상 / 2개 팬 / 247mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,471500
MSI 지포스 RTX 2070 벤투스 D6 8GB,MSI,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,HDMI / DP / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 2개 팬 / 226mm / 백플레이트,579700
ASRock Phantom Gaming X 라데온 RX 570 OC D5 8GB 에즈윈,ASRock,RX570,14,1280,1331,2048,3.0x16,5,7000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 전원부: 6페이즈 / 2개 팬 / 278.8mm,164000
PALIT 지포스 RTX 2060 GAMINGPRO OC D6 6GB,PALIT,RTX2060,12,1365,1830,1920,3.0x16,6,14000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 190W / 정격파워 500W 이상 / 2개 팬 / 235mm / LED 라이트,432600
ASRock Phantom Gaming X 라데온 RX 570 OC D5 4GB 에즈윈,ASRock,RX570,14,1280,1331,2048,3.0x16,5,7000,4,256,DVI / HDMI / DP / 최대 모니터 5개 / 전원부: 6페이즈 / 2개 팬 / 278.8mm,150000
ZOTAC GAMING AMP 지포스 GTX 1660 Ti D6 6GB 백플레이트,ZOTAC,GTX1660Ti,12,NA,1860,1536,3.0x16,6,12000,6,192,HDMI / DP / 최대 모니터 4개 / 최대 130W / 정격파워 450W / 2개 팬 / 217mm / 백플레이트,344300
갤럭시 GALAX 지포스 GTX 1660 BLACK D D5 6GB,갤럭시,GTX1660,12,1530,1800,1408,3.0x16,5,8000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 450W 이상 / 전원부: 4페이즈 / 2개 팬 / 214mm / 백플레이트,265300
ZOTAC GAMING 지포스 GTX 1660 D5 6GB TWIN,ZOTAC,GTX1660,12,NA,1785,1408,3.0x16,5,NA,6,192,HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 450W 이상 / 2개 팬 / 179mm,265800
