HIS 라데온 RX 570 IceQ X2 Turbo D5 8GB,HIS,RX570,14,NA,1264,2048,3.0x16,5,7000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 120W / 정격파워 500W 이상 / 전원부: 4+1페이즈 / 2개 팬 / 230mm,168500
MSI 지포스 RTX 2080 Ti 게이밍 X 트리오 D6 11GB 트라이프로져,MSI,RTX2080Ti,12,1350,1755,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 300W / 정격파워 650W / 전원부: 17페이즈 / 3개 팬 / 327mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,1782000
MSI 지포스 RTX 2070 벤투스 D6 8GB,MSI,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,HDMI / DP / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 2개 팬 / 226mm / 백플레이트,585900
이엠텍 지포스 GTX 1660 Ti STORM X Dual OC D6 6GB,이엠텍,GTX1660Ti,12,1500,1860,1536,3.0x16,6,12000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 450W / 전원부: 4+2페이즈 / 2개 팬 / 235mm / 백플레이트 / LED 라이트,369000
SAPPHIRE 라데온 RX 580 NITRO+ OC D5 8GB Dual-X,SAPPHIRE,RX580,14,NA,1411,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 235W / 정격파워 500W 이상 / 전원부: 6페이즈 / 2개 팬 / 260mm / 백플레이트 / LED 라이트,274370
ZOTAC GAMING 지포스 RTX 2070 AIR D6 8GB,ZOTAC,RTX2070,12,NA,1620,2304,3.0x16,6,14000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 2개 팬 / 217mm / 백플레이트,587700
GIGABYTE 지포스 RTX 2060 UDV OC D6 6GB,GIGABYTE,RTX2060,12,NA,1755,1920,3.0x16,6,14000,6,192,HDMI / DP / 최대 모니터 4개 / 정격파워 500W 이상 / 전원부: 4+2페이즈 / 2개 팬 / 226mm / 백플레이트,438980
PALIT 지포스 RTX 2080 Ti GAMINGPRO OC D6 11GB,PALIT,RTX2080Ti,12,1350,1650,4352,3.0x16,6,NA,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 295W / 정격파워 650W / 2개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,1457300
이엠텍 XENON 지포스 RTX 2080 TURBO JET OC D6 8GB,이엠텍,RTX2080,12,1515,1815,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W 이상 / 전원부: 10+2페이즈 / 2개 팬 / 292mm / 백플레이트 / LED 라이트,955000
MSI 지포스 GTX1060 OC D5 3GB 윈드스톰,MSI,GTX1060,16,1544,1759,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 400W 이상 / 2개 팬 / 243mm,229000
