시소닉 FOCUS PLUS Gold SSR-650FX Full Modular,시소닉,ATX,650,120,1,액티브,싱글레일,54,3,8,4,10,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 골드,119000
쿨러마스터 Elite V3 230V 500W,쿨러마스터,ATX,500,120,1,액티브,싱글레일,38,3,6,2,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터,33000
쿨러마스터 Elite V3 230V 600W,쿨러마스터,ATX,600,120,1,액티브,싱글레일,46,3,6,2,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터,41400
아이구주 ELPIS SP-600EL,아이구주,ATX,600,120,1,NA,다중레일,28,3,5,2,3,20핀+4핀 / 보조8핀(4+4) 커넥터 / Reform 케이블 / 대기전력 1W,36800
SuperFlower SF-650F14MT WHITE LEADEX SILVER,SuperFlower,ATX,650,140,1,액티브,싱글레일,54,3,6,4,7,20핀+4핀 / 깊이: 165mm / 보조8핀(4+4) 커넥터 / 케이블 연결식 / 대기전력 1W / 80 PLUS / 실버,82400
SuperFlower SF-650F14MT LEADEX SILVER,SuperFlower,ATX,650,140,1,액티브,싱글레일,54,3,6,4,7,20핀+4핀 / 깊이: 165mm / 보조8핀(4+4) 커넥터 / 케이블 연결식 / 대기전력 1W / 80 PLUS / 실버,76030
쿨러마스터 MWE GOLD 750 FULL MODULAR,쿨러마스터,ATX,750,120,1,액티브,싱글레일,62,6,8,4,5,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,98630
아이구주 ELPIS SP-700GX 80PLUS Standard 230V EU,아이구주,ATX,700,120,1,액티브,싱글레일,58,3,5,4,NA,20핀+4핀 / 깊이: 157mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,55400
스카이디지탈 파워스테이션5 PS5-500EV Standard,스카이디지탈,ATX,500,120,1,액티브,싱글레일,38,3,6,2,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 플랫케이블 / 80 PLUS / 스탠다드,32500
ABKO SUITMASTER Mighty 500W 80PLUS Standard 230V EU,ABKO,ATX,500,120,1,액티브,싱글레일,38,4,6,2,6,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,43500
Antec NeoECO NE550C 80PLUS BRONZE,Antec,ATX,550,120,1,액티브,싱글레일,42,3,8,2,3,20핀+4핀 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,52900
시소닉 PRIME Ultra Titanium SSR-1000TR Full Modular,시소닉,ATX,1000,135,1,액티브,싱글레일,83,5,14,8,12,20핀+4핀 / 깊이: 170mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 수동 팬 조절 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 티타늄,374000
시소닉 FOCUS PLUS Platinum SSR-750PX Full Modular,시소닉,ATX,750,120,1,액티브,싱글레일,62,3,8,4,10,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 수동 팬 조절 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 플레티넘,168000
Antec EAG PRO 750W WHITE 80PLUS GOLD 모듈러 NEWRUN,Antec,ATX,750,120,1,NA,싱글레일,62,3,8,4,7,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 케이블 연결식(전체) / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,98000
시소닉 FOCUS PLUS Gold SSR-1000FX Full Modular,시소닉,ATX,1000,120,1,액티브,싱글레일,83,5,10,6,10,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 수동 팬 조절 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 골드,192000
SuperFlower SF-500P14MS SILVER ECO 90+,SuperFlower,ATX,500,128,1,액티브,싱글레일,41,3,5,2,7,20핀+4핀 / 깊이: 150mm / 보조8핀(4+4) 커넥터 / 케이블 연결식 / 80 PLUS / 실버,56500
마이크로닉스 Cyclone III 400W After Cooling,마이크로닉스,ATX,400,120,1,NA,싱글레일,33,3,4,2,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W,34000
잘만 EcoMax 600W 83+,잘만,ATX,600,120,1,NA,다중레일,25,3,4,2,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W,34200
아이구주 ELPIS SP-500EL,아이구주,ATX,500,120,1,NA,다중레일,20,3,5,2,3,20핀+4핀 / 보조8핀(4+4) 커넥터 / Reform 케이블 / 대기전력 1W,31320
FSP HEXA 85+ 650W 80PLUS BRONZE 프리볼트,FSP,ATX,650,120,1,액티브,싱글레일,54,2,8,4,5,20핀+4핀 / 깊이: 140mm / 보조8핀 커넥터 / FDD 커넥터 / 프리볼트 / 80 PLUS / 브론즈,68000
FSP HEXA 85+ 550W 80PLUS BRONZE 프리볼트,FSP,ATX,550,120,1,액티브,싱글레일,45,2,8,4,5,20핀+4핀 / 깊이: 140mm / 보조8핀 커넥터 / FDD 커넥터 / 프리볼트 / 80 PLUS / 브론즈,57000
COOLMAX FOCUS 500W 80Plus 230V EU,COOLMAX,ATX,500,120,1,액티브,다중레일,22,3,4,2,5,20핀+4핀 / 보조8핀(4+4) 커넥터 / 대기전력 1W / 80 PLUS / 스탠다드,38400
마이크로닉스 Cyclone III 500W After Cooling,마이크로닉스,ATX,500,120,1,NA,싱글레일,41,3,5,2,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W,37400
쿨러마스터 MWE 400W 80PLUS Standard 230V EU,쿨러마스터,ATX,400,120,1,액티브,싱글레일,30,4,3,2,5,20핀+4핀 / 깊이: 150mm / 보조8핀(4+4) 커넥터 / Reform 케이블 / 대기전력 1W / 80 PLUS / 스탠다드,36500
델타 GPS-650JB 80 PLUS BRONZE,델타,ATX,650,120,1,액티브,다중레일,35,3,5,4,5,20핀+4핀 / 깊이: 155mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 프리볼트 / 80 PLUS / 브론즈,77000
시소닉 M12II-620 EVO 80PLUS 브론즈,시소닉,ATX,620,120,1,액티브,다중레일,24,5,8,4,5,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 플랫케이블 / 80 PLUS / 브론즈,84000
쿨러마스터 MWE GOLD 650 FULL MODULAR,쿨러마스터,ATX,650,120,1,액티브,싱글레일,54,6,8,4,5,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,88200
시소닉 FOCUS PLUS Platinum SSR-850PX Full Modular,시소닉,ATX,850,120,1,액티브,싱글레일,70,5,10,6,10,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 수동 팬 조절 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 플레티넘,191000
제이씨현 UDEA TANK 500A V2.3,제이씨현,ATX,500,120,1,NA,다중레일,20,3,5,2,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W,33600
시소닉 FOCUS SGX Gold SSR-650SGX Full Modular,시소닉,M-ATX(SFX),650,120,1,액티브,싱글레일,54,3,3,2,10,20핀+4핀 / 깊이: 125mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 80 PLUS / 골드,NA
ABKO SUITMASTER Mighty 700W 80PLUS Standard 230V EU,ABKO,ATX,700,120,1,액티브,싱글레일,54,4,6,4,6,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,67000
topower TOP-500DS Single Rail 80PLUS Bronze Rifle,topower,ATX,500,120,1,액티브,싱글레일,38,4,6,2,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,44000
Antec VP600P PLUS 80PLUS Standard 230V EU,Antec,ATX,600,120,1,액티브,싱글레일,46,2,7,2,3,20핀+4핀 / 깊이: 150mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 80 PLUS / 스탠다드,48490
Antec EAG PRO 750W 80PLUS GOLD 모듈러 NEWRUN,Antec,ATX,750,120,1,액티브,싱글레일,62,3,8,4,7,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 케이블 연결식(전체) / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,99700
마이크로닉스 ASTRO GD 750W 80PLUS GOLD 풀모듈러,마이크로닉스,ATX,750,NA,1,액티브,싱글레일,62,4,8,4,7,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 골드,105100
FSP Hydro PTM 750W 80PLUS PLATINUM,FSP,ATX,750,135,1,액티브,싱글레일,62,5,14,6,10,깊이: 170mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 플랫케이블 / 프리볼트 / 80 PLUS / 플레티넘,152300
