Seagate 2TB BarraCuda ST2000LM015 (SATA3/5400/128M/노트북용),Seagate,HDD (노트북용),6.4cm (2.5형),2,SATA3(6Gb/s),5400,128,7,22/24,2,NA,89700
Western Digital 8TB Ultrastar DC HC320 (SATA3/7200/256M),Western,HDD (기업용),8.9cm (3.5형),8,SATA3(6Gb/s),7200,256,26.1,29/36,5,RV센서 / DSA / ISE / SED / 24시간 연중무휴 작동설계 / MTBF: 2백만 시간,350000
Toshiba 1TB DT01ACA100 (SATA3/7200/64M),Toshiba,HDD (PC용),8.9cm (3.5형),1,SATA3(6Gb/s),7200,64,NA,25/26,2,무게: 450g,47310
Toshiba 4TB MD04ACA400 (SATA3/7200/128M),Toshiba,HDD (PC용),8.9cm (3.5형),4,SATA3(6Gb/s),7200,128,26.1,31/34,2,NA,137400
HGST 1TB Travelstar Z5K1 HTS541010B7E610 (SATA3/5400/128M/노트북용),HGST,HDD (노트북용),6.4cm (2.5형),1,SATA3(6Gb/s),5400,128,7,19/21,NA,NA,51000
Seagate 14TB BarraCuda Pro ST14000DM001 (SATA3/7200/256M),Seagate,HDD (PC용),8.9cm (3.5형),14,SATA3(6Gb/s),7200,256,26.11,NA,5,헬륨충전 / 저전력 / 다층캐싱기술 / 워크로드 300TB / 무게: 최대 705g,790000
Western Digital WD 3TB BLUE WD30EZRZ (SATA3/5400/64M),Western,HDD (PC용),8.9cm (3.5형),3,SATA3(6Gb/s),5400,64,26.1,23/27,2,NA,90200
Seagate 14TB IronWolf ST14000VN0008 (SATA3/7200/256M),Seagate,HDD (NAS용),8.9cm (3.5형),14,SATA3(6Gb/s),7200,256,26.11,18/26,3,헬륨충전 / RV센서 / 180TB/Y / MTBF: 100만시간 / IHM솔루션 / AgileArray 지원 / 최대 8베이 / 무게: 최대 705g,672000
Seagate 2TB FireCuda SSHD ST2000LX001 (SATA3/5400/128M/노트북용),Seagate,SSHD (노트북용),6.4cm (2.5형),2,SATA3(6Gb/s),5400,128,7,22/24,5,낸드: MLC(8GB),121200
Seagate 8TB BarraCuda ST8000DM004 (SATA3/5400/256M),Seagate,HDD (PC용),8.9cm (3.5형),8,SATA3(6Gb/s),5400,256,26.11,23/25,2,다층캐싱(MTC) / 무게: 630g,269500
Seagate 2TB IronWolf ST2000VN004 (SATA3/5900/64M),Seagate,HDD (NAS용),8.9cm (3.5형),2,SATA3(6Gb/s),5900,64,26.1,19/21,3,무게: 최대 535g,105400
HGST 10TB Deskstar NAS HDN721010ALE604 패키지 (SATA3/7200/256M),HGST,HDD (NAS용),8.9cm (3.5형),10,SATA3(6Gb/s),7200,256,26.1,NA,3,헬륨충전 / RV센서 / S.M.A.R.T 지원 / ISE / SED,425900
HGST 8TB Deskstar NAS HDN728080ALE604 패키지 (SATA3/7200/128M),HGST,HDD (NAS용),8.9cm (3.5형),8,SATA3(6Gb/s),7200,128,26.1,NA,3,헬륨충전 / RV센서 / S.M.A.R.T 지원 / 100만 MTBF / TFC / RAID지원,320000
Western Digital WD 6TB Red WD60EFRX (SATA3/5400/64M),Western,HDD (NAS용),8.9cm (3.5형),6,SATA3(6Gb/s),5400,64,26,25/28,3,무게: 750g / 1~8베이 NAS솔루션용 스토리지,258600
Seagate 4TB SkyHawk HDD ST4000VX007 (SATA3/5900/64M),Seagate,HDD (CCTV용),8.9cm (3.5형),4,SATA3(6Gb/s),5900,64,26.1,23/25,3,무게: 최대 635g,131500
Western Digital WD 500GB MOBILE BLACK WD5000LPLX (SATA3/7200/32M/노트북용),Western,HDD (노트북용),6.4cm (2.5형),0.5,SATA3(6Gb/s),7200,32,7,NA,5,듀얼 프로세서 / 동적캐시 / No Touch 램프 로드 / 무게 : 92g,59000
Western Digital WD 500GB WD5000AZLX (SATA3/7200/32M),Western,HDD (PC용),8.9cm (3.5형),0.5,SATA3(6Gb/s),7200,32,26.1,29/30,2,NA,47910
Seagate 10TB BarraCuda Pro ST10000DM0004 (SATA3/7200/256M),Seagate,HDD (PC용),8.9cm (3.5형),10,SATA3(6Gb/s),7200,256,NA,28/32,5,헬륨충전 / 무게: 최대 650g,490000
Toshiba 500GB P300 DT01ACA050 (SATA3/7200/64M),Toshiba,HDD (PC용),8.9cm (3.5형),0.5,SATA3(6Gb/s),7200,64,26.1,25/26,2,충격 감지센서 / 램프로딩 기술,40500
Western Digital WD 1TB MOBILE BLACK WD10JPLX (SATA3/7200/32M/노트북용),Western,HDD (노트북용),6.4cm (2.5형),1,SATA3(6Gb/s),7200,32,9.5,NA,5,무게 :115g,80000
Western Digital WD 3TB PURPLE WD30PURZ (SATA3/5400/64M),Western,HDD (CCTV용),8.9cm (3.5형),3,SATA3(6Gb/s),5400,64,26.1,23/24,3,최대 64대 카메라 지원 / 최대 8베이 / 무게: 640g,101000
Seagate 1TB BarraCuda Pro ST1000LM049 (SATA3/7200/128M/노트북용),Seagate,HDD (노트북용),6.4cm (2.5형),1,SATA3(6Gb/s),7200,128,7,22/24,5,저전력,75230
Toshiba 1TB DT01ACA100 (SATA3/7200/32M),Toshiba,HDD (PC용),8.9cm (3.5형),1,SATA3(6Gb/s),7200,32,26.1,25/26,2,450g,47340
Seagate 10TB IronWolf ST10000VN0004 (SATA3/7200/256M),Seagate,HDD (NAS용),10TB,NA,SATA3(6Gb/s),7200,256,26,28/32,3,헬륨충전 / RV센서 / 저전력 / 무게: 최대 650g,400000
Western Digital WD 8TB Red WD80EFZX (SATA3/5400/128M),Western,HDD (NAS용),8.9cm (3.5형),8,SATA3(6Gb/s),5400,128,26,20/29,3,무게: 650g / 1~8베이 NAS솔루션용 스토리지,346200
Toshiba 2TB DT01ACA200 (SATA3/7200/64M),Toshiba,HDD (PC용),8.9cm (3.5형),2,SATA3(6Gb/s),7200,64,26.1,27/28,2,680g,67000
Toshiba 6TB X300 HDWE160 (SATA3/7200/128M),Toshiba,HDD (PC용),8.9cm (3.5형),6,SATA3(6Gb/s),7200,128,26.1,34,2,DSA / 충격 감지센서 / 램프로딩 기술,223000
Seagate 14TB IronWolf Pro ST14000NE0008 (SATA3/7200/256M),Seagate,HDD (NAS용),8.9cm (3.5형),14,SATA3(6Gb/s),7200,256,26.11,18/26,5,헬륨충전 / RV센서 / 300TB/Y / MTBF: 120만시간 / IHM솔루션 / AgileArray 지원 / 최대 24베이 / 무게: 최대 705g,787660
Seagate 8TB SkyHawk HDD ST8000VX0022 (SATA3/7200/256M),Seagate,HDD (CCTV용),8.9cm (3.5형),8,SATA3(6Gb/s),7200,256,26,27/28,3,무게: 최대 780g,293764
Western Digital WD 2TB BLACK WD2003FZEX (SATA3/7200/64M),Western,HDD (PC용),8.9cm (3.5형),2,SATA3(6Gb/s),7200,64,26.1,29/30,5,600g,153100
HGST 6TB Deskstar NAS HDN726060ALE614 패키지 (SATA3/7200/128M),HGST,HDD (NAS용),6TB,NA,SATA3(6Gb/s),7200,128,26.1,NA,3,RV센서 / DSA / ISE / SED / 100만 MTBF / TFC,243500
Toshiba 500GB DT01ACA050 (SATA3/7200/64M),Toshiba,HDD (PC용),8.9cm (3.5형),0.5,SATA3(6Gb/s),7200,64,NA,25/26,2,무게: 450g,42150
Seagate 8TB IronWolf ST8000VN0022 (SATA3/7200/256M),Seagate,HDD (NAS용),8.9cm (3.5형),8,SATA3(6Gb/s),7200,256,26.1,27/28,3,무게: 최대 780g,315800
Western Digital WD 1TB PURPLE WD10PURZ (SATA3/5400/64M),Western,HDD (CCTV용),8.9cm (3.5형),1,SATA3(6Gb/s),5400,64,26.1,21/22,3,최대 64대 카메라 지원 / 최대 8베이 / 무게: 450g,57000
Western Digital WD 8TB PURPLE WD80PURZ (SATA3/5400/128M),Western,HDD (CCTV용),8.9cm (3.5형),8,SATA3(6Gb/s),5400,128,26.1,20/29,3,저전력 / 무게: 650g,330000
Western Digital WD 1TB BLACK WD1003FZEX (SATA3/7200/64M),Western,HDD (PC용),8.9cm (3.5형),1,SATA3(6Gb/s),7200,64,26.1,29/30,5,450g,83000
HGST 4TB Ultrastar 7K6000 HUS726040ALA610 (SATA3/7200/128M),HGST,HDD (기업용),8.9cm (3.5형),4,SATA3(6Gb/s),7200,128,26.1,NA,5,RV센서 / ISE / SED / MTBF 200만시간 / 서버 및 스토리지 지원 / DAS 지원 / Raid 지원,196800
Western Digital WD 6TB PURPLE WD60PURZ (SATA3/5400/64M),Western,HDD (CCTV용),8.9cm (3.5형),6,SATA3(6Gb/s),5400,64,26.1,25/26,3,저전력 / 무게: 750g,230000
Western Digital WD 2TB Red WD20EFRX (SATA3/5400/64M),Western,HDD (NAS용),8.9cm (3.5형),2,SATA3(6Gb/s),5400,64,26.1,23/24,3,무게: 600g,104300
Toshiba 500GB MQ01ABF050 (SATA2/5400/8M/노트북용),Toshiba,HDD (노트북용),6.4cm (2.5형),0.5,SATA2(3Gb/s),5400,8,7,NA,NA,NA,39330
Toshiba 500GB MQ01ABF050 (SATA3/5400/8M/노트북용),Toshiba,HDD (노트북용),6.4cm (2.5형),0.5,SATA3(6Gb/s),5400,8,7,19/21,NA,저전력,39500
Seagate 500GB BarraCuda ST500LM030 (SATA3/5400/128M/노트북용),Seagate,HDD (노트북용),6.4cm (2.5형),0.5,SATA3(6Gb/s),5400,128,7,20/22,2,NA,44700
Seagate 3TB IronWolf ST3000VN007 (SATA3/5900/64M),Seagate,HDD (NAS용),8.9cm (3.5형),3,SATA3(6Gb/s),5900,64,26.1,23/25,3,무게: 최대 610g,129900
Western Digital WD 10TB Red WD100EFAX (SATA3/5400/256M),Western,HDD (NAS용),8.9cm (3.5형),10,SATA3(6Gb/s),5400,256,26.1,20/29,3,저전력 / NASware3.0 / 650g,451000
Seagate 12TB IronWolf ST12000VN0007 (SATA3/7200/256M),Seagate,HDD (NAS용),8.9cm (3.5형),12,SATA3(6Gb/s),7200,256,26.11,28/32,3,헬륨충전 / RV센서 / IHM솔루션 / AgileArray 지원 / 4K 최적화 / 최대 8베이 / 무게: 최대 705g,550000
Western Digital WD 500GB MOBILE BLUE WD5000LPCX (SATA3/5400/16M/노트북용),Western,HDD (노트북용),6.4cm (2.5형),0.5,SATA3(6Gb/s),5400,16,7,17/22,NA,NA,46040
Seagate 2TB BarraCuda Pro ST2000DM009 (SATA3/7200/128M),Seagate,HDD (PC용),8.9cm (3.5형),2,SATA3(6Gb/s),7200,128,26,28/32,5,무게: 최대 780g,152200
Toshiba 1TB MQ01ABD100 (SATA2/5400/8M/노트북용),Toshiba,HDD (노트북용),6.4cm (2.5형),1,SATA2(3Gb/s),5400,8,9.5,23/24,1,117g,51200
Seagate 10TB IronWolf Pro ST10000NE0004 (SATA3/7200/256M),Seagate,HDD (NAS용),10TB,NA,SATA3(6Gb/s),7200,256,26,28/32,5,헬륨충전 / RV센서 / 저전력 / 무게: 최대 650g,526000
Seagate 12TB Exos X12 ST12000NM0007 (SATA3/7200/256M),Seagate,HDD (기업용),8.9cm (3.5형),12,SATA3(6Gb/s),7200,256,26.1,NA,5,헬륨충전 / ISE / SED,691000
Western Digital WD 1TB Caviar Blue WD10EZEX (SATA3/7200/64M/리퍼비시),Western,HDD (PC용),8.9cm (3.5형),1,SATA3(6Gb/s),7200,64,NA,NA,NA,NA,41340
Western Digital WD 3TB Red WD30EFRX (SATA3/5400/64M),Western,HDD (NAS용),8.9cm (3.5형),3,SATA3(6Gb/s),5400,64,26.1,23/24,3,무게: 640g,121200
Western Digital WD 1TB Red WD10EFRX (SATA3/5400/64M),Western,HDD (NAS용),8.9cm (3.5형),1,SATA3(6Gb/s),5400,64,26,21/22,3,무게: 450g,75300
Western Digital WD 5TB Red WD50EFRX (SATA3/5400/64M),Western,HDD (NAS용),8.9cm (3.5형),5,SATA3(6Gb/s),5400,64,26,NA,3,무게: 750g / 1~8베이 NAS솔루션용 스토리지,502200
Western Digital WD 6TB BLUE WD60EZRZ (SATA3/5400/64M),Western,HDD (PC용),8.9cm (3.5형),6,SATA3(6Gb/s),5400,64,26.1,25/28,2,NA,215400
Seagate 1TB FireCuda SSHD ST1000LX015 (SATA3/5400/128M/노트북용),Seagate,SSHD (노트북용),6.4cm (2.5형),1,SATA3(6Gb/s),5400,128,7,20/22,5,낸드: MLC(8GB),80800
Seagate 14TB SkyHawk ST14000VX0008 (SATA3/7200/256M),Seagate,HDD (CCTV용),8.9cm (3.5형),14,SATA3(6Gb/s),7200,256,26.11,18/26,3,헬륨충전 / RV센서 / ImagePerfect 펌웨어 / ATA스트리밍 / 최대 16베이 64대 카메라 / 워크로드 480TB / MTBF: 100만시간 / 무게: 690g,709000
Western Digital WD 6TB Red Pro WD6002FFWX (SATA3/7200/128M),Western,HDD (NAS용),8.9cm (3.5형),6,SATA3(6Gb/s),7200,128,26,29/36,5,무게: 720g / 8~16베이 NAS솔루션용 스토리지,335000
Western Digital WD 250GB Scorpio Blue WD2500BEVS (SATA/5400/8M/노트북용),Western,HDD (노트북용),6.4cm (2.5형),0.25,SATA1(1.5Gb/s),5400,NA,7,NA,NA,8MB,83000
Western Digital WD 4TB Red Pro WD4002FFWX (SATA3/7200/128M),Western,HDD (NAS용),8.9cm (3.5형),4,SATA3(6Gb/s),7200,128,26,29/36,5,무게: 720g / 8~16베이 NAS솔루션용 스토리지,239000
HGST 1TB Travelstar 7K1000 HTS721010A9E630 (SATA3/7200/32M/노트북용),HGST,HDD (노트북용),6.4cm (2.5형),1,SATA3(6Gb/s),7200,32,9.5,25/27,NA,Advenced Format,70000
Western Digital WD 2TB PURPLE WD20PURX (SATA3/5400/64M),Western,HDD (CCTV용),8.9cm (3.5형),2,SATA3(6Gb/s),5400,64,26.1,NA,3,저전력 / 무게: 640g,67000
Seagate 4TB BarraCuda Pro ST4000DM006 (SATA3/7200/128M),Seagate,HDD (PC용),8.9cm (3.5형),4,SATA3(6Gb/s),7200,128,26,28/32,5,무게: 최대 780g,227250
Seagate 2TB IronWolf Pro ST2000NE0025 (SATA3/7200/128M),Seagate,HDD (NAS용),2TB,NA,SATA3(6Gb/s),7200,128,26,22/26,5,무게: 최대 780g,167900
Seagate 4TB IronWolf Pro ST4000NE0025 (SATA3/7200/128M),Seagate,HDD (NAS용),4TB,NA,SATA3(6Gb/s),7200,128,26,28/32,5,무게: 최대 780g,235000
Seagate 160GB BarraCuda7200.7 ST3160021A (EIDE/7200/2M),Seagate,HDD (PC용),160GB,NA,NA,7200,NA,26.1,NA,NA,E-IDE / 2MB,43000
Toshiba 500GB DT01ACA050 (SATA3/7200/32M),Toshiba,HDD (PC용),8.9cm (3.5형),0.5,SATA3(6Gb/s),7200,32,26.1,25/26,2,450g,39200
Toshiba 2TB DT01ABA200V (SATA3/5700/64M),Toshiba,HDD (CCTV용),8.9cm (3.5형),2,SATA3(6Gb/s),5700,64,26.1,22/24,3,저전력 / 무게: 556g,65000
HGST 10TB Deskstar NAS HDN721010ALE604 패키지 (SATA3/7200/256M/2PACK),HGST,HDD (NAS용),8.9cm (3.5형),10,SATA3(6Gb/s),7200,256,26.1,NA,3,헬륨충전 / RV센서 / S.M.A.R.T 지원 / ISE / SED / MTBF: 100만시간,831000
Seagate 6TB BarraCuda ST6000DM003 (SATA3/5400/256M),Seagate,HDD (PC용),8.9cm (3.5형),6,SATA3(6Gb/s),5400,256,26.11,23/25,2,다층캐싱(MTC) / 무게: 610g,222000
HGST 10TB Deskstar NAS HDN721010ALE604 패키지 (SATA3/7200/256M/4PACK),HGST,HDD (NAS용),8.9cm (3.5형),10,SATA3(6Gb/s),7200,256,26.1,NA,3,헬륨충전 / RV센서 / S.M.A.R.T 지원 / ISE / SED / MTBF: 100만시간,1640000
Seagate 6TB BarraCuda Pro ST6000DM004 (SATA3/7200/256M),Seagate,HDD (PC용),8.9cm (3.5형),6,SATA3(6Gb/s),7200,256,26,24/27,5,무게: 최대 780g,309900
Toshiba 2TB MG04ACA200 Enterprise (SATA3/7200/128M),Toshiba,HDD (기업용),8.9cm (3.5형),2,SATA3(6Gb/s),7200,128,26.1,31/34,5,RV센서 / DSA / MTTF: 140만시간 / RAID / 최대 60베이 / 550TB 워크로드 / 파워 손실 보호(PLP) / 기록방식: PMR(CMR),135000
Toshiba 2TB MC04ACA200 (SATA3/7200RPM/128M),Toshiba,HDD (NAS용),8.9cm (3.5형),2,SATA3(6Gb/s),7200,128,26.1,NA,3,RV센서 / 저전력 / RAID지원 / NASServerCloud 시스템에 최적화/ 24BAY지원,109000
Seagate 500GB BarraCuda ST500DM009 (SATA3/7200/32M),Seagate,HDD (PC용),8.9cm (3.5형),0.5,SATA3(6Gb/s),7200,32,20,22/23,2,무게: 최대 400g,50410
Seagate 6TB SkyHawk HDD ST6000VX0023 (SATA3/7200/256M),Seagate,HDD (CCTV용),8.9cm (3.5형),6,SATA3(6Gb/s),7200,256,26,27/28,3,무게: 최대 705g,222828
Seagate 1TB SkyHawk HDD ST1000VX005 (SATA3/5900/64M),Seagate,HDD (CCTV용),8.9cm (3.5형),1,SATA3(6Gb/s),5900,64,20.2,19/21,3,무게: 최대 415g,56768
Seagate 4TB Video ST4000VM000 (SATA3/5900/64M),Seagate,HDD (CCTV용),8.9cm (3.5형),4,SATA3(6Gb/s),5900,64,26.1,NA,NA,저전력,149000
Western Digital WD 4TB PURPLE WD40PURX (SATA3/5400/64M),Western,HDD (CCTV용),8.9cm (3.5형),4,SATA3(6Gb/s),5400,64,26,NA,3,저전력 / 무게: 680g,127000
Toshiba 10TB X300 HDWR11A (SATA3/7200/256M),Toshiba,HDD (PC용),8.9cm (3.5형),10,SATA3(6Gb/s),7200,256,26.1,34,2,DSA / 충격 감지센서 / 램프로딩 기술,510000
Toshiba 8TB MN05ACA800 (SATA3/7200/128M),Toshiba,HDD (NAS용),8.9cm (3.5형),8,SATA3(6Gb/s),7200,128,26.1,33/35,3,RV센서 / DSA / SED / 저전력 / MTTF: 1000000시간 / 무게: 770g,317000
Toshiba 1TB DT01ABA100V (SATA3/5700/64M),Toshiba,HDD (CCTV용),8.9cm (3.5형),1,SATA3(6Gb/s),5700,64,26,19/22,3,저전력 / 무게: 424g,48900
Seagate 2TB Mobile HDD ST2000LM007 (SATA3/5400/128M/노트북용),Seagate,HDD (노트북용),2TB,NA,SATA3(6Gb/s),5400,128,7,NA,NA,NA,122390
Western Digital WD 10TB Red Pro WD101KFBX (SATA3/7200/256M),Western,HDD (NAS용),8.9cm (3.5형),10,SATA3(6Gb/s),7200,256,26.1,20/29,5,저전력 / NASware3.0 / 650g,556000
HGST 2TB Ultrastar 7K2 HUS722T2TALA604 (SATA3/7200/128M),HGST,HDD (기업용),8.9cm (3.5형),2,SATA3(6Gb/s),7200,128,26,NA,5,MTBF: 2000000시간 / 무게: 640g,150000
Seagate 3TB Video ST3000VM002 (SATA3/5900/64M),Seagate,HDD (CCTV용),8.9cm (3.5형),3,SATA3(6Gb/s),5900,64,26.1,NA,NA,저전력,115000
Seagate 12TB BarraCuda Pro ST12000DM0007 (SATA3/7200/256M),Seagate,HDD (PC용),8.9cm (3.5형),12,SATA3(6Gb/s),7200,256,26.11,28/32,5,헬륨충전 / 다층캐싱기술 / 무게: 최대 705g,644000
Seagate 6TB IronWolf ST6000VN0033 (SATA3/7200/256M),Seagate,HDD (NAS용),8.9cm (3.5형),6,SATA3(6Gb/s),7200,256,26.11,27/28,3,무게: 최대 780g,247000
Seagate 500GB Video ST3500312CS (SATA3/5900/64M),Seagate,HDD (CCTV용),8.9cm (3.5형),0.5,SATA3(6Gb/s),5900,64,20,NA,NA,저전력,65000
Seagate 1TB IronWolf ST1000VN002 (SATA3/5900/64M),Seagate,HDD (NAS용),1TB,NA,SATA3(6Gb/s),5900,64,20,21/23,3,무게: 최대 415g,74500
Toshiba 6TB MC04ACA600 (SATA3/7200RPM/128M),Toshiba,HDD (NAS용),8.9cm (3.5형),6,SATA3(6Gb/s),7200,128,26.1,NA,3,RV센서 / 저전력 / RAID지원 / NASServerCloud 시스템에 최적화/ 24BAY지원,229000
HGST 1TB Travelstar 5K1000 HTS541010A9E680 (SATA3/5400/8M/노트북용),HGST,HDD (노트북용),6.4cm (2.5형),1,SATA3(6Gb/s),5400,8,9.5,24/26,NA,NA,55160
HGST 3TB HUA723030ALA640 (SATA3/7200/64M/해외구매),HGST,HDD (PC용),8.9cm (3.5형),3,SATA3(6Gb/s),7200,64,NA,NA,NA,NA,75280
Seagate 2TB FireCuda SSHD ST2000DX002 (SATA3/7200/64M),Seagate,SSHD (PC용),8.9cm (3.5형),2,SATA3(6Gb/s),7200,64,26.1,24/26,5,낸드: MLC(8GB),197990
HGST 4TB Deskstar NAS HDN726040ALE614 패키지 (SATA3/7200/128M/4PACK),HGST,HDD (NAS용),8.9cm (3.5형),4,SATA3(6Gb/s),7200,128,26.1,NA,3,RV센서 / DSA / S.M.A.R.T 지원 / ISE / SED / 100만 MTBF / TFC / RAID 지원,659200
HGST 4TB Deskstar HDS724040ALE640 (SATA3/7200/64M),HGST,HDD (PC용),8.9cm (3.5형),4,SATA3(6Gb/s),7200,64,26.1,NA,2,DAS 사용 지원 / 서버 스토리지 지원 / RAID 지원 / 빅데이터 서버 지원 / 영상편집스토리지 사용 지원,224510
Toshiba 3TB DT01ABA300V (SATA3/5940/64M),Toshiba,HDD (CCTV용),8.9cm (3.5형),3,SATA3(6Gb/s),5940,64,26.1,24/25,3,저전력 / 무게: 675g,93200
