MSI B360M 박격포,MSI,인텔(소켓1151v2),(인텔) B360,M-ATX (24.3x24.3),7,4,64,16,4,4,2,7.1,1,4,NA,2,XMP / 옵테인 / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / MYSTIC LIGHT,100900
GIGABYTE B360M DS3H 듀러블에디션 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) B360,M-ATX (22.6x20.5),6,4,64,16,3,6,1,8,1,2,4,NA,XMP / 옵테인 / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / RGB FUSION,81800
ASUS TUF Z390-PLUS GAMING 아이보라,ASUS,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),NA,4,64,16,6,6,2,8,2,NA,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 그래픽 출력: HDMI DP / 기가비트 LAN / LED 라이트 / LED 헤더 / AURA SYNC,213500
MSI H310M PRO-VD PLUS,MSI,인텔(소켓1151v2),(인텔) H310,M-ATX (22.6x18.5),7,4,32,16,3,4,NA,7.1,1,4,2,NA,XMP / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI,67000
ASRock B360M PRO4 에즈윈,ASRock,인텔(소켓1151v2),(인텔) B360,M-ATX (24.4x24.4),10,4,64,16,4,6,3,7.1,2,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,87700
ASRock B450M PRO4 에즈윈,ASRock,AMD(소켓AM4),(AMD) B450,M-ATX (24.4x24.4),9,4,64,16,3,4,2,7.1,1,2,4,2,멀티 GPU: CrossFire X / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 헤더,91900
MSI B360M 바주카 플러스,MSI,인텔(소켓1151v2),(인텔) B360,M-ATX (24.3x24.3),7,4,64,16,4,4,1,7.1,1,4,NA,2,XMP / 옵테인 / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / VR Ready / MYSTIC LIGHT,87500
ASUS PRIME A320M-K 아이보라,ASUS,AMD(소켓AM4),(AMD) A320,M-ATX (22.6x22.1),6,4,32,NA,3,4,1,8,2,2,4,NA,그래픽 출력: D-SUB HDMI / 기가비트 LAN / UEFI,64500
ASUS PRIME X470-PRO STCOM,ASUS,AMD(소켓AM4),(AMD) X470,ATX (30.5x24.4),10,4,64,16,6,6,2,8,1,NA,6,2,멀티 GPU: CrossFire X SLI / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,212300
ASRock Z390 EXTREME 4 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,ATX (30.5x24.4),12,4,64,16,6,8,2,7.1,1,NA,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 그래픽 출력: D-SUB HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더,208100
ASRock B450M-HDV R4.0 에즈윈,ASRock,AMD(소켓AM4),(AMD) B450,M-ATX (23.0x20.1),6,4,32,16,2,4,1,7.1,1,2,4,NA,그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,81000
BIOSTAR A320MH 이엠텍,BIOSTAR,AMD(소켓AM4),(AMD) A320,M-ATX (22.6x17.4),5,4,32,16,3,4,NA,7.1,1,4,2,NA,그래픽 출력: D-SUB HDMI / 기가비트 LAN / AMD APU 지원,49600
ASUS PRIME B450M-A STCOM,ASUS,AMD(소켓AM4),(AMD) B450,M-ATX (24.4x24.4),6,4,64,16,3,6,1,8,2,NA,4,2,그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더,101900
MSI B450M 박격포,MSI,AMD(소켓AM4),(AMD) B450,M-ATX (24.4x24.4),7,4,64,16,4,4,2,7.1,1,2,4,2,멀티 GPU: CrossFire / 그래픽 출력: HDMI DP / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,117600
MSI B450 토마호크,MSI,AMD(소켓AM4),(AMD) B450,ATX (30.5x24.4),7,4,64,16,3,6,1,7.1,1,2,2,2,멀티 GPU: CrossFire / 그래픽 출력: DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,135000
